,pareto_points,solution_points
3956,[1.       0.996885],[-0.28593037  0.27345127 -0.35375255  0.14464583]
3957,[1.         0.82180482],[-0.12933081  0.07550162 -0.42991194 -0.19292372]
3958,[1.         0.77765322],[-0.06795701  0.00985594 -0.4705928  -0.22458231]
3959,[1.         1.03021407],[-0.3006226   0.2594568  -0.41573438  0.19383773]
3960,[1.         0.98937607],[-0.26438245  0.19047841 -0.31344885  0.00581418]
3961,[1.         0.90914077],[-0.18519749  0.08434575 -0.390635   -0.17186315]
3962,[1.         1.03991401],[-0.26466686  0.10362966 -0.3336769  -0.05399963]
3963,[1.         1.03658688],[-0.27006197  0.12476414 -0.33502647 -0.0218014 ]
3964,[1.        0.9320206],[-0.19085196  0.06619399 -0.38620874 -0.17312239]
3965,[1.         0.53664082],[ 0.08927295  0.04719469 -0.6556733  -0.20993441]
3966,[1.         0.99749523],[-0.28081173  0.24373949 -0.3524686   0.10662174]
3967,[1.         1.04055321],[-0.25591823  0.0787521  -0.36320677 -0.08863664]
3968,[1.         0.99508804],[-0.2764601   0.22877908 -0.3428405   0.07949045]
3969,[1.         0.94673234],[-0.18963835  0.04404292 -0.39049494 -0.17540947]
3970,[0.82562638 1.11599338],[-0.3807248   0.4233711  -0.33946347  0.21759993]
3971,[1.         1.03586757],[-0.26351225  0.10645275 -0.36614808 -0.04456109]
3972,[1.         0.99096721],[-0.26690185  0.1970616  -0.32074547  0.02047358]
3973,[1.         0.96426201],[-0.20939189  0.06675866 -0.37548333 -0.1653108 ]
3974,[0.99846787 0.98520112],[-0.2839536   0.29994375 -0.32178825  0.14911257]
3975,[1.         1.03686345],[-0.27118784  0.1277823  -0.3290993  -0.01817695]
3976,[1.         0.98360211],[-0.22998676  0.09169658 -0.29212826 -0.10985639]
3977,[1.         1.06933761],[-0.3300925   0.32904494 -0.38107076  0.19717014]
3978,[1.         1.01045752],[-0.2328914   0.06160784 -0.370107   -0.15205722]
3979,[1.         0.91740716],[-0.1728775   0.0445971  -0.34612253 -0.15167804]
3980,[1.         1.03588068],[-0.26262027  0.10388666 -0.3700641  -0.0478214 ]
3981,[0.76065695 1.08614361],[-0.34824234  0.39201635 -0.33410746  0.21005529]
3982,[1.         1.00534952],[-0.28469458  0.24276273 -0.37293315  0.12360427]
3983,[1.         0.96791124],[-0.20091349  0.04222018 -0.37664363 -0.161702  ]
3984,[1.         1.03397882],[-0.27357718  0.14014333 -0.34308046  0.00275387]
3985,[1.        0.9901675],[-0.22864404  0.07881643 -0.36476386 -0.15507996]
3986,[1.         1.03322136],[-0.26746222  0.12223883 -0.36853066 -0.02029242]
3987,[1.        1.0395776],[-0.25805125  0.0858077  -0.36811638 -0.07549077]
3988,[1.        0.9324379],[-0.49349248  0.6305027  -0.25003934  0.2625382 ]
3989,[1.         0.95910001],[-0.22715145  0.1211417  -0.35812908 -0.11302914]
3990,[1.         1.02869999],[-0.24362439  0.06360117 -0.36299548 -0.13804796]
3991,[1.         1.03771091],[-0.26483047  0.10744251 -0.34786323 -0.04597243]
3992,[1.         0.84467095],[-0.11312117  0.01297078 -0.43982652 -0.20963198]
3993,[1.         0.45959616],[ 0.18323311  0.01590058 -0.7731833  -0.20049237]
3994,[1.         1.02208638],[-0.25227556  0.09551378 -0.33087462 -0.09657608]
3995,[1.         0.50048202],[ 0.13457021  0.02787083 -0.71276975 -0.20540793]
3996,[1.         1.01653588],[-0.2815911   0.20234014 -0.39072722  0.08924669]
3997,[1.         1.03731096],[-0.25415     0.07865819 -0.35085166 -0.09870046]
3998,[1.         0.85097194],[-0.10100295 -0.01611495 -0.44646496 -0.21748345]
3999,[1.         0.61132622],[ 0.08764675 -0.03740548 -0.66260225 -0.21060866]
4000,[1.         0.90950507],[-0.159846    0.02684978 -0.40719217 -0.19094145]
4001,[1.         0.80910993],[-0.08387366  0.00126742 -0.4591959  -0.22063023]
4002,[1.         0.98424989],[-0.2713134   0.23125643 -0.31473446  0.05757669]
4003,[1.         1.01485097],[-0.2690625   0.15858719 -0.363572    0.01079065]
4004,[1.         1.02194798],[-0.2877929   0.21690258 -0.41005078  0.12450416]
4005,[1.         0.70643091],[ 0.04030243 -0.07479692 -0.57848346 -0.20029107]
4006,[1.         0.89786261],[-0.14286706  0.0069817  -0.4019685  -0.18844911]
4007,[1.         1.03367853],[-0.2670329   0.12021516 -0.36689866 -0.02361457]
4008,[1.         1.00315833],[-0.23347391  0.07298576 -0.36551017 -0.15217206]
4009,[1.         1.00764477],[-0.2585968   0.13672309 -0.32871673 -0.04733992]
4010,[1.         1.00049019],[-0.2920146   0.3012055  -0.3615471   0.18602833]
4011,[1.        0.9697848],[-0.20194972  0.04216443 -0.3776998  -0.16203398]
4012,[1.        1.0424993],[-0.25684673  0.07846125 -0.35609564 -0.08852093]
4013,[1.         0.98985893],[-0.25524357  0.15666837 -0.29521108 -0.05237078]
4014,[1.         0.47553161],[ 0.137956    0.05488628 -0.71404165 -0.20489882]
4015,[1.        1.0160042],[-0.27237225  0.16804893 -0.37248364  0.03045927]
4016,[1.         1.03769279],[-0.26479498  0.10736827 -0.34814337 -0.04604022]
4017,[1.         1.02312231],[-0.26524717  0.13182849 -0.36643767 -0.01987812]
4018,[0.99853076 0.98514372],[-0.2833387   0.29583877 -0.32207784  0.14427441]
4019,[0.91861178 1.14285922],[-0.37036818  0.3752176  -0.37969372  0.20791647]
4020,[0.99846787 1.13607097],[-0.364034    0.34441596 -0.40427142  0.20475155]
4021,[1.         1.00102341],[-0.2392685   0.09106721 -0.35471356 -0.1357679 ]
4022,[1.         0.78084141],[-0.05516368 -0.0154763  -0.48669687 -0.22511342]
4023,[1.         0.95455611],[-0.20359355  0.0659669  -0.37761012 -0.16850153]
4024,[1.         1.02976954],[-0.28265002  0.17940322 -0.36193234  0.06516653]
4025,[1.         0.87778968],[-0.12621734 -0.00120071 -0.39024875 -0.18679334]
4026,[1.        1.0027082],[-0.29008698  0.28049982 -0.36895117  0.1669085 ]
4027,[1.         0.98589146],[-0.55174553  0.66774577 -0.27747405  0.25785336]
4028,[1.         1.02390277],[-0.2802331   0.18179977 -0.40087783  0.07277398]
4029,[0.98755206 1.03627431],[-0.41870582  0.5023961  -0.29916546  0.23450199]
4030,[1.         1.01732218],[-0.26813847  0.15104504 -0.36514586  0.00282762]
4031,[1.        1.0112834],[-0.23889418  0.0755008  -0.3622576  -0.14518645]
4032,[1.         1.02913487],[-0.28268695  0.18079099 -0.36748528  0.06815016]
4033,[1.         1.02794611],[-0.28949058  0.2107809  -0.38407153  0.11617383]
4034,[1.         1.04213107],[-0.25618067  0.07723178 -0.36208197 -0.0894291 ]
4035,[1.         1.02459991],[-0.28658837  0.20575565 -0.41163558  0.11295447]
4036,[0.89019709 1.06100249],[-0.33124104  0.3734233  -0.33370227  0.20569018]
4037,[1.         1.03769875],[-0.30656666  0.27191654 -0.41502193  0.1851407 ]
4038,[1.         0.99380404],[-0.28482154  0.27638546 -0.3457078   0.14113553]
4039,[1.         0.40102676],[ 0.24922127  0.0126738  -0.8537365  -0.19374871]
4040,[0.98250578 1.17392004],[-0.48492372  0.5233264  -0.36539572  0.225799  ]
4041,[0.99901428 1.12209415],[-0.35694367  0.34022373 -0.40169927  0.20059532]
4042,[0.94835827 1.15525532],[-0.3756921   0.37192595 -0.3898378   0.20754498]
4043,[1.         1.02486122],[-0.28231904  0.18790594 -0.40554938  0.08497354]
4044,[1.        0.9888587],[-0.23576649  0.09951019 -0.35389167 -0.13777179]
4045,[1.         0.86052442],[-0.09519258 -0.03628631 -0.42388624 -0.2127931 ]
4046,[1.         0.98900795],[-0.26036867  0.17616992 -0.30499065 -0.01946772]
4047,[1.         1.02100229],[-0.2712659   0.15505785 -0.3776509   0.0189271 ]
4048,[1.         1.02977335],[-0.27646998  0.15714183 -0.3690734   0.03261379]
4049,[1.         1.03910315],[-0.25531867  0.07921147 -0.34983185 -0.09497301]
4050,[1.         1.00788569],[-0.28283766  0.22745496 -0.37622103  0.10752533]
4051,[1.         0.87718499],[-0.14769235  0.0418763  -0.41613802 -0.19250548]
4052,[1.         0.98147076],[-0.2733959   0.24855772 -0.31093615  0.07567638]
4053,[1.        1.0338304],[-0.2634627   0.1094286  -0.37597066 -0.03920824]
4054,[1.        1.0369761],[-0.30618104  0.27179015 -0.40428367  0.2058492 ]
4055,[1.         1.02727187],[-0.29458484  0.2357819  -0.40784433  0.15779099]
4056,[1.         0.86930192],[-0.10964039 -0.02135508 -0.44024706 -0.21541752]
4057,[1.         1.02580738],[-0.2796242   0.1757954  -0.3979459   0.06543654]
4058,[1.         0.72520036],[ 0.00629035 -0.04867986 -0.5648941  -0.21901427]
4059,[1.         1.05802679],[-0.31959033  0.28994414 -0.41117254  0.18920636]
4060,[1.         0.87704647],[-0.11589326 -0.01896407 -0.41846636 -0.2043707 ]
4061,[1.         1.03112662],[-0.27207765  0.14012903 -0.36883754  0.00683024]
4062,[1.         0.84145141],[-0.12098029  0.03207092 -0.43478584 -0.20356815]
4063,[1.        1.0043385],[-0.2809016   0.22701883 -0.36678237  0.09859206]
4064,[1.         1.03056359],[-0.27151734  0.13927583 -0.3746813   0.00646881]
4065,[1.         0.98333114],[-0.26164532  0.19228077 -0.29809952 -0.00559551]
4066,[1.         0.86924386],[-0.10835184 -0.02351747 -0.4410062  -0.21612594]
4067,[1.         1.01092362],[-0.29180276  0.26543367 -0.39012396  0.16703098]
4068,[1.         1.03132474],[-0.30022615  0.25416347 -0.3926774   0.18319532]
4069,[1.         0.84404242],[-0.08742401 -0.03149812 -0.39435267 -0.19940348]
4070,[0.9368492  1.06799209],[-0.33317044  0.36507544 -0.34524256  0.20419082]
4071,[1.         0.94236553],[-0.21516748  0.11346497 -0.3696862  -0.15162045]
4072,[1.         1.07126987],[-0.32771233  0.30096155 -0.39969978  0.210287  ]
4073,[1.         1.01766098],[-0.24946763  0.09432326 -0.3176477  -0.10981402]
4074,[1.        1.0348233],[-0.2687321   0.12353212 -0.35243183 -0.02089662]
4075,[1.         0.97742814],[-0.21745782  0.06846645 -0.37228957 -0.1608956 ]
4076,[1.         0.78130317],[-0.03279182 -0.05060881 -0.51758987 -0.22303136]
4077,[1.         0.56551814],[ 0.14631751 -0.05845433 -0.7361367  -0.20472185]
4078,[1.         0.67830235],[-0.01642621  0.0401822  -0.52792615 -0.22080941]
4079,[1.         0.86595237],[-0.13004777  0.01998946 -0.428091   -0.20255624]
4080,[0.91369392 1.17869031],[-0.3874474   0.37750217 -0.39636886  0.21266535]
4081,[0.70765586 1.10025489],[-0.3600431   0.40361676 -0.33582318  0.21283612]
4082,[1.         1.01719117],[-0.283614    0.20941344 -0.39510453  0.10191895]
4083,[0.99462643 1.09558833],[-0.46948022  0.5306259  -0.3303792   0.24233142]
4084,[1.         1.00758278],[-0.26264432  0.14988986 -0.3382919  -0.02248212]
4085,[1.         1.03698003],[-0.26946568  0.12230895 -0.3343453  -0.0256253 ]
4086,[1.         0.88368535],[-0.12316556 -0.01342329 -0.43143412 -0.209989  ]
4087,[1.         1.02279043],[-0.2511847   0.09149986 -0.3467582  -0.10054488]
4088,[1.         0.99930531],[-0.28015825  0.23587933 -0.35567546  0.09971584]
4089,[0.8804834  1.02144325],[-0.3115129   0.3709977  -0.3121848   0.20427758]
4090,[1.         0.63477576],[ 0.01576489  0.03978635 -0.56709856 -0.21751256]
4091,[1.         0.84467375],[-0.092857   -0.02312054 -0.38221663 -0.19157606]
4092,[1.         0.86730462],[-1.20512515e-01  3.07083130e-04 -4.34037596e-01 -2.08975971e-01]
4093,[1.         1.01530945],[-0.24243756  0.07899774 -0.3583123  -0.1329125 ]
4094,[1.         1.03420448],[-0.24960275  0.07119198 -0.34579045 -0.11860179]
4095,[1.         1.02858496],[-0.27573675  0.15676066 -0.3799992   0.03377528]
4096,[1.        0.7980969],[-0.04164907 -0.05479115 -0.45532286 -0.19775221]
4097,[1.         1.02549732],[-0.2791357   0.17458716 -0.40096924  0.06408912]
4098,[1.         1.04163575],[-0.25799125  0.08270998 -0.34645236 -0.08525525]
4099,[1.         1.02668858],[-0.28898132  0.21138006 -0.395513    0.11890091]
4100,[1.         0.99920446],[-0.23674907  0.08700411 -0.35825825 -0.1453377 ]
4101,[1.         1.03135407],[-0.30188388  0.263309   -0.4049167   0.1989828 ]
4102,[1.         1.03366697],[-0.2665058   0.11865536 -0.3690189  -0.02563775]
4103,[1.         1.02792668],[-0.26997253  0.13876452 -0.3846085   0.00488753]
4104,[1.         1.02685368],[-0.28390136  0.19005412 -0.3878827   0.08541366]
4105,[1.         1.03756809],[-0.25725833  0.08655724 -0.3451248  -0.08535127]
4106,[1.        0.9106642],[-0.15640254  0.01843846 -0.38981435 -0.17880681]
4107,[1.         1.00653398],[-0.2544893   0.1258744  -0.31691638 -0.07129847]
4108,[1.         0.67156339],[-0.02410114  0.06300487 -0.5161942  -0.22145906]
4109,[0.9084956 1.1059649],[-0.3527446   0.37355873 -0.35991335  0.20675147]
4110,[1.         1.02793097],[-0.29207328  0.22229713 -0.39095575  0.13469699]
4111,[1.        0.9910655],[-0.28809547  0.3081755  -0.3359313   0.17190559]
4112,[1.         1.02840364],[-0.27592784  0.15774113 -0.3810811   0.03543118]
4113,[1.         1.02383101],[-0.2598458   0.11435465 -0.353579   -0.05300172]
4114,[1.         1.00460577],[-0.28456706  0.24406391 -0.37120906  0.12368658]
4115,[1.         0.80327791],[-0.05665758 -0.037407   -0.48718953 -0.22539812]
4116,[1.         1.01911628],[-0.26312318  0.13181366 -0.3556983  -0.02944487]
4117,[0.99856311 1.11770606],[-0.54221123  0.62870955 -0.33952898  0.23382574]
4118,[1.         0.93246436],[-0.2050548   0.10108192 -0.37699616 -0.1619575 ]
4119,[1.         1.03144956],[-0.2701161   0.13332745 -0.37228253 -0.0029147 ]
4120,[1.         1.01109219],[-0.291177    0.2613961  -0.39030287  0.16217804]
4121,[1.         1.00951004],[-0.2854604   0.23590645 -0.3824925   0.12359247]
4122,[1.         1.02533805],[-0.28129753  0.1830076  -0.4012949   0.07688385]
4123,[1.         0.89182919],[-0.13469826 -0.00152428 -0.42523372 -0.20417504]
4124,[1.         1.02525985],[-0.28591198  0.20150155 -0.40431136  0.10535127]
4125,[1.         0.99336028],[-0.25468615  0.14861816 -0.29906166 -0.05894027]
4126,[1.         0.99591321],[-0.22237895  0.05556378 -0.37575078 -0.15766451]
4127,[1.        0.6374495],[-0.00504415  0.07339402 -0.5382658  -0.21944362]
4128,[0.93642359 1.0616647 ],[-0.3801778   0.44875646 -0.31089187  0.22241566]
4129,[1.         1.03814721],[-0.26803157  0.11614919 -0.33157027 -0.0353886 ]
4130,[1.         1.00311863],[-0.24990088  0.11765814 -0.3004998  -0.09609358]
4131,[1.         0.98385215],[-0.21593754  0.05618501 -0.37753126 -0.16126694]
4132,[1.         0.59522235],[ 0.03184345  0.06384572 -0.5841106  -0.21572036]
4133,[1.         0.61750203],[ 0.1353055  -0.09753886 -0.70432246 -0.1947087 ]
4134,[1.         0.98846817],[-0.25214475  0.14887154 -0.2859872  -0.07025024]
4135,[1.         0.52704078],[ 0.15105656 -0.02331597 -0.73819846 -0.20402534]
4136,[0.91094231 1.03030097],[-0.3148907   0.36604726 -0.3217665   0.20349601]
4137,[0.78753202 1.05002892],[-0.32919365  0.3856408  -0.31776428  0.20792198]
4138,[1.         0.88371187],[-0.1354034   0.00922504 -0.38018483 -0.17904046]
4139,[1.         1.02791941],[-0.28617975  0.1969578  -0.37943715  0.09451748]
4140,[1.         0.66150981],[-0.02637787  0.08128989 -0.51165473 -0.22106415]
4141,[1.         1.02656567],[-0.27954704  0.1740508  -0.39149457  0.06176995]
4142,[1.         1.02529633],[-0.2963214   0.24974233 -0.42600298  0.17945263]
4143,[1.         0.99312294],[-0.25539258  0.1513567  -0.30036795 -0.05437941]
4144,[1.         1.02055538],[-0.26424316  0.1329334  -0.36043948 -0.02383954]
4145,[1.         1.02671456],[-0.2871964   0.20372114 -0.39209282  0.10676625]
4146,[1.         1.03362465],[-0.2700907   0.12965874 -0.35635948 -0.0110001 ]
4147,[1.         0.60990101],[ 0.08862522 -0.03712301 -0.66376185 -0.21050665]
4148,[1.         0.94108373],[-0.17492107  0.01954527 -0.40398762 -0.18222028]
4149,[1.         1.02432704],[-0.2812223   0.18473548 -0.40345204  0.07870691]
4150,[1.         1.04376137],[-0.25506192  0.07206086 -0.35828632 -0.09785834]
4151,[1.         0.77828658],[-0.10505834  0.08222789 -0.44722685 -0.20019244]
4152,[0.71638869 1.13539886],[-0.37457067  0.40200657 -0.3554014   0.21322855]
4153,[0.92225487 1.02786171],[-0.3133492   0.36411467 -0.32200095  0.20305315]
4154,[1.         1.02907252],[-0.26519978  0.12202084 -0.37432683 -0.02503853]
4155,[1.         1.01052344],[-0.29307577  0.27414903 -0.38934433  0.17715651]
4156,[1.         1.00261259],[-0.28917694  0.27518588 -0.36874902  0.16013238]
4157,[0.94466498 1.20560718],[-0.4559204   0.469252   -0.38042933  0.22097376]
4158,[1.         0.98011214],[-0.22828045  0.09225826 -0.28933805 -0.10874662]
4159,[1.         0.94811559],[-0.19417885  0.05250186 -0.34759426 -0.1476579 ]
4160,[1.         0.97749889],[-0.21332934  0.05841134 -0.3515945  -0.14547813]
4161,[0.7096251  1.20184815],[-0.40798578  0.40735108 -0.38600045  0.22286898]
4162,[1.         0.93386751],[-0.19207798  0.06658891 -0.31419998 -0.13023983]
4163,[1.         0.99471486],[-0.27579176  0.22659558 -0.34126708  0.07538107]
4164,[1.         0.92198229],[-0.18274939  0.06078392 -0.39180747 -0.17691165]
4165,[1.         1.04133928],[-0.25666964  0.07962588 -0.34875858 -0.09078444]
4166,[1.         1.01016033],[-0.26937053  0.16829863 -0.35708204  0.01707571]
4167,[1.         1.00078559],[-0.22534432  0.05621558 -0.37456736 -0.15604222]
4168,[1.        1.0293262],[-0.284544    0.18754902 -0.365646    0.07808471]
4169,[1.         1.00958502],[-0.2835764   0.22678803 -0.3805135   0.11051387]
4170,[1.         1.00661612],[-0.27654535  0.20284611 -0.36476642  0.0667931 ]
4171,[1.         0.98179513],[-0.2675988   0.22024715 -0.30505627  0.03530554]
4172,[1.         0.79034311],[-0.05045024 -0.03334567 -0.49430746 -0.22473758]
4173,[1.         1.01553595],[-0.28660095  0.22652593 -0.3960408   0.12399386]
4174,[0.99658293 1.08158517],[-0.3376548   0.34463865 -0.3732018   0.20050862]
4175,[1.         0.99362856],[-0.27930197  0.24628305 -0.342718    0.10110997]
4176,[1.         0.76705545],[-0.03575875 -0.03117892 -0.51193804 -0.22321886]
4177,[1.         1.03927374],[-0.31001234  0.28887025 -0.40061182  0.18854031]
4178,[1.         0.98925155],[-0.26989636  0.21316138 -0.3225595   0.04207178]
4179,[1.         1.02794576],[-0.28532723  0.19346805 -0.37855455  0.08909595]
4180,[0.99348873 0.98135638],[-0.28291175  0.30665168 -0.31095445  0.14780706]
4181,[1.         1.02324772],[-0.28298375  0.19383422 -0.40482703  0.09122407]
4182,[1.         1.00199509],[-0.2619467   0.15748566 -0.32846478 -0.02179042]
4183,[1.       0.366669],[ 0.29539034  0.00873539 -0.9102732  -0.18904057]
4184,[1.         1.04053307],[-0.25100192  0.06611321 -0.35878322 -0.1146494 ]
4185,[1.         0.75170571],[-0.00116611 -0.06534299 -0.5575843  -0.21987846]
4186,[1.         0.75913268],[-0.03225854 -0.02803548 -0.51586187 -0.22284128]
4187,[1.         0.88249284],[-0.17476447  0.09696722 -0.3983078  -0.1732552 ]
4188,[1.         1.01361704],[-0.26785073  0.15666273 -0.3590331   0.00436625]
4189,[0.98369223 1.15035224],[-0.37207866  0.35862738 -0.39547765  0.21390352]
4190,[1.         0.95194751],[-0.22177067  0.11704575 -0.36341554 -0.13161138]
4191,[1.         0.98430014],[-0.27400178  0.24412164 -0.31767988  0.07616557]
4192,[1.         1.02911413],[-0.28929523  0.20735192 -0.37214392  0.10908689]
4193,[1.         0.68280596],[ 0.03847665 -0.04865359 -0.60401624 -0.21571544]
4194,[1.         1.00603735],[-0.25721753  0.13507953 -0.32309693 -0.05437664]
4195,[1.         1.02845514],[-0.28156522  0.17789212 -0.37387297  0.06477952]
4196,[1.         1.01166975],[-0.25382474  0.11571814 -0.32197034 -0.07941238]
4197,[1.        0.6875487],[ 0.04652134 -0.0639334  -0.61540365 -0.21498263]
4198,[1.         1.03634489],[-0.2666705   0.11492841 -0.34956253 -0.03437343]
4199,[1.         0.58442169],[ 0.05141315  0.04517059 -0.60986495 -0.21382676]
4200,[1.         0.42504835],[ 0.22374511  0.01102656 -0.8229417  -0.19636956]
4201,[1.         0.69750607],[-0.01480895  0.01388049 -0.5326608  -0.22080141]
4202,[1.         1.02979898],[-0.27451527  0.15045202 -0.3728987   0.0230985 ]
4203,[1.         1.03412783],[-0.26840305  0.12364677 -0.35860854 -0.01974041]
4204,[1.        0.9635483],[-0.2014965   0.04914587 -0.36167854 -0.15355225]
4205,[0.9683152  1.13009071],[-0.43919057  0.4828825  -0.345724    0.2317664 ]
4206,[1.         1.02582765],[-0.26456964  0.12532118 -0.3684016  -0.02620983]
4207,[1.         0.60659963],[ 0.03559664  0.04258022 -0.5909115  -0.2154633 ]
4208,[0.99329388 0.98346376],[-0.28552648  0.31863916 -0.31425443  0.16562164]
4209,[1.         1.10532749],[-0.34774292  0.32904896 -0.4027028   0.19802082]
4210,[1.         1.07053125],[-0.33089954  0.3311403  -0.37975702  0.19760871]
4211,[1.         1.08749938],[-0.3368282   0.30958414 -0.40572885  0.20373145]
4212,[1.         0.91773194],[-0.16388701  0.02511337 -0.4059199  -0.1889861 ]
4213,[1.         1.03638315],[-0.25222492  0.07493348 -0.3476762  -0.10718504]
4214,[1.        0.8345136],[-0.07758166 -0.03734925 -0.40046173 -0.20006196]
4215,[1.        0.8961696],[-0.13718057 -0.00185187 -0.41485274 -0.19673716]
4216,[1.         0.97895801],[-0.2089829   0.04637524 -0.38351944 -0.16475256]
4217,[1.         1.01786351],[-0.25687486  0.1149649  -0.3380344  -0.06606492]
4218,[1.         1.01842797],[-0.2553873   0.1097645  -0.3354581  -0.07844252]
4219,[1.         1.03152311],[-0.2662531   0.1212937  -0.38026148 -0.02066465]
4220,[1.         0.99796551],[-0.26658735  0.18159723 -0.3319711   0.01125771]
4221,[1.         1.02858114],[-0.27300698  0.14754918 -0.38592577  0.0207782 ]
4222,[1.        0.9435181],[-0.19820383  0.06805789 -0.38105655 -0.17022622]
4223,[1.         1.03337252],[-0.27165613  0.13500181 -0.35323086 -0.00341205]
4224,[1.         0.91838747],[-0.19149543  0.0867756  -0.38624117 -0.16923386]
4225,[1.         1.02445018],[-0.24940954  0.08434778 -0.3256218  -0.1151072 ]
4226,[1.         0.85256875],[-0.09059615 -0.03538801 -0.41182232 -0.20770733]
4227,[1.         0.98294401],[-0.21934667  0.0655877  -0.3728136  -0.15973535]
4228,[1.         1.06850588],[-0.32521716  0.2927693  -0.41051763  0.19888636]
4229,[1.         0.92215848],[-0.16430204  0.02059722 -0.40754166 -0.18858151]
4230,[1.        0.9974879],[-0.25999334  0.15898727 -0.3173324  -0.02982422]
4231,[1.         1.00867629],[-0.29352778  0.28286508 -0.38440815  0.18358734]
4232,[1.         0.77980846],[-0.0525956  -0.01850721 -0.4901376  -0.22486842]
4233,[1.        1.0847187],[-0.33515504  0.30713218 -0.40648067  0.20296788]
4234,[1.         1.02880192],[-0.2963359   0.24058059 -0.3990917   0.16366044]
4235,[1.         0.33569711],[ 0.36467126 -0.01143685 -0.9966129  -0.18206112]
4236,[1.         0.98637265],[-0.21367726  0.04761097 -0.38156682 -0.16219221]
4237,[1.         0.99598652],[-0.25724548  0.15243211 -0.308856   -0.04549775]
4238,[1.         1.03984737],[-0.26531574  0.10558537 -0.3312255  -0.05142999]
4239,[1.         1.02807105],[-0.26894444  0.1352452  -0.3823213  -0.00151471]
4240,[1.         1.02911162],[-0.27372223  0.14899707 -0.38006595  0.02203696]
4241,[1.         1.02687252],[-0.279394    0.17290786 -0.38903242  0.05964857]
4242,[1.        0.5496515],[ 0.09345159  0.02471852 -0.6631188  -0.20964098]
4243,[1.         0.95436758],[-0.20258534  0.06381502 -0.37876135 -0.16897875]
4244,[1.         1.02729905],[-0.28056812  0.17641625 -0.38446066  0.06423059]
4245,[0.99811754 0.98429698],[-0.28281525  0.29524037 -0.31992406  0.14161667]
4246,[1.         1.03347671],[-0.25346214  0.08225223 -0.3478728  -0.09792517]
4247,[1.         0.81249601],[-0.11773784  0.06273993 -0.43780366 -0.19923924]
4248,[1.         0.40605116],[ 0.4436594  -0.12477416 -1.1045597  -0.17464569]
4249,[1.        0.5844785],[ 0.0366697   0.06996372 -0.58933324 -0.21518902]
4250,[1.         0.69070798],[ 0.05616772 -0.07903755 -0.6161615  -0.2077471 ]
4251,[1.         0.95603126],[-0.19250402  0.03857654 -0.3917163  -0.17360681]
4252,[1.         1.00157166],[-0.23101304  0.0689978  -0.36782953 -0.1533855 ]
4253,[1.         1.00316942],[-0.29114255  0.28574347 -0.36994833  0.1743042 ]
4254,[1.         0.88125682],[-0.11764166 -0.02052593 -0.42646727 -0.20809409]
4255,[1.         0.96396089],[-0.20402929  0.05444606 -0.3819429  -0.16781552]
4256,[1.         0.81951362],[-0.06002234 -0.04918279 -0.484339   -0.22581361]
4257,[0.99808341 0.97923535],[-0.27503303  0.26349813 -0.3068399   0.09058058]
4258,[1.         1.00275266],[-0.27432138  0.2020119  -0.35420007  0.05636303]
4259,[1.      1.03248],[-0.2694731   0.12961936 -0.36681804 -0.00939573]
4260,[1.         1.02894533],[-0.27507225  0.1538419  -0.37842506  0.02910776]
4261,[1.        0.9284178],[-0.1711775   0.02716935 -0.40283436 -0.18501513]
4262,[1.         0.99057329],[-0.27740753  0.24475473 -0.334395    0.09181282]
4263,[1.         0.58279997],[ 0.0432092   0.06089821 -0.5982368  -0.2145732 ]
4264,[1.         0.85917562],[-0.10469934 -0.01878172 -0.44377977 -0.216657  ]
4265,[1.         0.87982982],[-0.16257018  0.07124457 -0.4063177  -0.18208784]
4266,[1.         1.00723302],[-0.28534645  0.24114022 -0.37757766  0.12571958]
4267,[1.         1.03453219],[-0.24713069  0.06449111 -0.35926488 -0.12750527]
4268,[0.86338537 1.15432298],[-0.37767196  0.38583893 -0.3769729   0.21029404]
4269,[1.         1.01319134],[-0.25056574  0.1040279  -0.34128532 -0.09566696]
4270,[1.         1.01091397],[-0.2724089   0.1778962  -0.36450738  0.03559141]
4271,[1.         1.00458431],[-0.28853783  0.26542825 -0.3736013   0.15233395]
4272,[1.         0.74606907],[-0.08518907  0.08420721 -0.4613172  -0.20677042]
4273,[1.         1.03466916],[-0.26569492  0.11466555 -0.3651894  -0.03228492]
4274,[1.         0.84359461],[-0.13172379  0.05139766 -0.42764995 -0.19638018]
4275,[0.9368492  1.10041034],[-0.34923056  0.3680262  -0.36168647  0.20552698]
4276,[1.         1.00082481],[-0.23465309  0.07924174 -0.3241784  -0.12597518]
4277,[1.         1.02939594],[-0.2886338   0.20393807 -0.36830935  0.10331053]
4278,[1.        1.0027045],[-0.27324247  0.19773528 -0.35228336  0.04935014]
4279,[1.         1.02058589],[-0.2733763   0.16310543 -0.3816635   0.03248449]
4280,[0.99502744 1.07506347],[-0.46254864  0.53218836 -0.32016495  0.24229571]
4281,[1.         0.99851418],[-0.29100865  0.3012889  -0.35638583  0.18154305]
4282,[1.         1.02058172],[-0.28657508  0.21463996 -0.4057616   0.11788203]
4283,[1.         1.00354612],[-0.27448285  0.20097025 -0.35588077  0.05656427]
4284,[1.         1.05535686],[-0.32340413  0.33147645 -0.37019938  0.19731191]
4285,[1.         1.00108075],[-0.23123777  0.07022986 -0.36728105 -0.15330815]
