lat_block,lon_block,count
0.805,0.397,214
0.719,0.418,214
0.512,0.423,214
0.776,0.395,213
0.757,0.601,213
0.7000000000000001,0.316,213
0.434,0.279,212
0.5710000000000001,0.234,211
0.715,0.439,211
0.6940000000000001,0.436,211
0.865,0.245,210
0.736,0.463,210
0.41000000000000003,0.504,210
0.839,0.453,210
0.329,0.18,209
0.521,0.59,209
0.6970000000000001,0.47000000000000003,209
0.742,0.331,209
0.41400000000000003,0.47100000000000003,209
0.6920000000000001,0.438,208
0.426,0.682,207
0.5690000000000001,0.773,207
0.535,0.246,207
0.448,0.365,206
0.718,0.401,206
0.662,0.772,205
0.803,0.47400000000000003,205
0.542,0.539,205
0.812,0.466,204
0.7000000000000001,0.443,204
0.797,0.505,204
0.323,0.528,203
0.881,0.301,203
0.86,0.444,203
0.778,0.419,203
0.748,0.441,203
0.793,0.442,202
0.803,0.55,202
0.6910000000000001,0.59,201
0.794,0.244,200
0.774,0.519,200
0.772,0.436,200
0.755,0.5,200
0.934,0.448,200
0.721,0.687,199
0.606,0.398,199
0.517,0.715,199
0.8190000000000001,0.584,198
0.445,0.729,198
0.705,0.41300000000000003,197
0.5680000000000001,0.373,197
0.645,0.375,196
0.76,0.49,196
0.727,0.391,196
0.46,0.057,195
0.4,0.049,195
0.545,0.756,194
0.375,0.324,193
0.756,0.557,193
0.9560000000000001,0.41300000000000003,193
0.797,0.447,192
0.537,0.189,192
0.736,0.424,191
0.251,0.36,191
0.417,0.543,190
0.673,0.35000000000000003,189
0.65,0.454,189
0.661,0.722,188
0.728,0.444,188
0.545,0.844,188
0.735,0.447,188
0.466,0.771,186
0.9560000000000001,0.221,186
0.668,0.394,186
0.751,0.418,185
0.781,0.435,185
0.7010000000000001,0.438,185
0.725,0.452,185
0.871,0.23600000000000002,184
0.709,0.535,184
0.531,0.65,184
0.707,0.7010000000000001,184
0.274,0.259,184
0.755,0.403,184
0.6880000000000001,0.181,184
0.6970000000000001,0.454,184
0.394,0.21,183
0.299,0.268,183
0.619,0.07100000000000001,183
0.841,0.618,183
0.752,0.39,183
0.557,0.599,182
0.308,0.29,182
0.755,0.199,182
0.788,0.304,182
0.435,0.517,181
0.9590000000000001,0.41200000000000003,181
0.547,0.785,180
0.632,0.17200000000000001,180
0.713,0.547,180
0.728,0.541,179
0.735,0.518,179
0.744,0.509,179
0.758,0.47900000000000004,178
0.712,0.444,177
0.534,0.601,177
0.35100000000000003,0.855,177
0.551,0.48,176
0.384,0.40800000000000003,176
0.74,0.48,176
0.91,0.442,175
0.744,0.495,175
0.58,0.159,175
0.724,0.34400000000000003,175
0.767,0.541,174
0.776,0.483,174
0.732,0.652,174
0.8,0.17,172
0.419,0.464,172
0.773,0.429,172
0.8240000000000001,0.433,172
0.806,0.492,171
0.794,0.171,171
0.792,0.549,170
0.721,0.503,170
0.668,0.804,170
0.78,0.169,170
0.704,0.40700000000000003,170
0.732,0.455,169
0.913,0.202,169
0.619,0.20400000000000001,168
0.389,0.319,168
0.858,0.508,168
0.669,0.528,168
0.722,0.378,166
0.7030000000000001,0.371,166
0.41000000000000003,0.419,166
0.796,0.483,165
0.674,0.431,165
0.51,0.538,164
0.79,0.435,164
0.5670000000000001,0.762,164
0.672,0.434,164
0.741,0.517,163
0.79,0.6970000000000001,162
0.79,0.359,162
0.75,0.489,162
0.902,0.367,162
0.761,0.5680000000000001,162
0.76,0.399,162
0.40900000000000003,0.195,162
0.753,0.443,161
0.422,0.47300000000000003,161
0.433,0.873,161
0.865,0.177,161
0.725,0.384,160
0.5650000000000001,0.314,160
0.332,0.445,159
0.502,0.39,159
0.558,0.787,159
0.552,0.506,159
0.79,0.425,159
0.7020000000000001,0.712,159
0.756,0.518,159
0.388,0.13,158
0.298,0.426,158
0.833,0.552,158
0.5630000000000001,0.353,158
0.554,0.46,158
0.457,0.343,158
0.642,0.41300000000000003,158
0.453,0.636,157
0.709,0.47800000000000004,157
0.731,0.428,157
0.753,0.091,157
0.733,0.532,156
0.842,0.605,156
0.5680000000000001,0.108,156
0.861,0.451,156
0.927,0.433,156
0.603,0.81,155
0.786,0.363,155
0.766,0.402,155
0.787,0.226,155
0.804,0.526,155
0.75,0.546,155
0.331,0.242,154
0.721,0.201,154
0.721,0.642,154
0.768,0.394,153
0.783,0.541,153
0.8,0.526,153
0.513,0.552,152
0.665,0.53,152
0.426,0.466,152
0.859,0.181,152
0.613,0.064,152
0.594,0.488,152
0.723,0.184,151
0.716,0.326,151
0.719,0.374,150
0.537,0.752,150
0.788,0.428,150
0.808,0.657,150
0.833,0.188,149
0.549,0.6,149
0.9410000000000001,0.179,149
0.744,0.47500000000000003,149
0.616,0.166,148
0.659,0.525,148
0.763,0.468,147
0.756,0.462,147
0.334,0.197,146
0.727,0.254,146
0.714,0.377,145
0.668,0.488,145
0.542,0.482,145
0.723,0.47800000000000004,145
0.263,0.264,145
0.6970000000000001,0.095,144
0.374,0.067,144
0.687,0.451,144
0.548,0.14100000000000001,144
0.438,0.865,143
0.761,0.093,143
0.47800000000000004,0.707,143
0.762,0.458,142
0.72,0.40800000000000003,142
0.513,0.391,142
0.685,0.169,142
0.744,0.489,142
0.74,0.402,142
0.314,0.352,142
0.663,0.46900000000000003,142
0.41200000000000003,0.801,141
0.747,0.47900000000000004,141
0.616,0.678,141
0.752,0.148,141
0.6900000000000001,0.467,141
0.426,0.467,140
0.789,0.455,140
0.804,0.326,140
0.445,0.15,140
0.724,0.55,139
0.634,0.334,139
0.753,0.47800000000000004,139
0.557,0.41300000000000003,139
